match week,date,home team name,away team name,home final score,away final score,home goal times,away goal times
26,170225,Watford FC,West Ham United,1,1,['3'],['73']
26,170226,Tottenham Hotspur,Stoke City,4,0,"['14', '32', '37', '45']",[]
26,170227,Leicester City,Liverpool FC,3,1,"['28', '39', '60']",['68']
26,170427,Manchester City,Manchester United,0,0,[],[]
26,170510,Southampton FC,Arsenal FC,0,2,[],"['60', '83']"
27,170304,Manchester United,AFC Bournemouth,1,1,['23'],['40']
27,170304,Leicester City,Hull City,3,1,"['27', '59', '90']",['14']
27,170304,Stoke City,Middlesbrough FC,2,0,"['29', '42']",[]
27,170304,Swansea City,Burnley FC,3,2,"['12', '69', '90']","['20', '61']"
27,170304,Watford FC,Southampton FC,3,4,"['4', '79', '90']","['28', '45', '83', '86']"
27,170304,West Bromwich Albion,Crystal Palace,0,2,[],"['55', '84']"
27,170304,Liverpool FC,Arsenal FC,3,1,"['9', '40', '90']",['57']
27,170305,Tottenham Hotspur,Everton FC,3,2,"['20', '56', '90']","['81', '90']"
27,170305,Sunderland AFC,Manchester City,0,2,[],"['42', '59']"
27,170306,West Ham United,Chelsea FC,1,2,['90'],"['25', '50']"
28,170308,Manchester City,Stoke City,0,0,[],[]
28,170311,AFC Bournemouth,West Ham United,3,2,"['31', '48', '90']","['10', '83']"
28,170311,Everton FC,West Bromwich Albion,3,0,"['39', '45', '82']",[]
28,170311,Hull City,Swansea City,2,1,"['69', '78']",['90']
28,170312,Liverpool FC,Burnley FC,2,1,"['45', '61']",['7']
28,170426,Arsenal FC,Leicester City,1,0,['86'],[]
28,170426,Middlesbrough FC,Sunderland AFC,1,0,['8'],[]
28,170426,Crystal Palace,Tottenham Hotspur,0,1,[],['78']
28,170515,Chelsea FC,Watford FC,4,3,"['22', '36', '49', '88']","['24', '51', '74']"
28,170517,Southampton FC,Manchester United,0,0,[],[]
29,170318,West Bromwich Albion,Arsenal FC,3,1,"['12', '55', '75']",['15']
29,170318,Crystal Palace,Watford FC,1,0,['68'],[]
29,170318,Everton FC,Hull City,4,0,"['9', '78', '90', '90']",[]
29,170318,Stoke City,Chelsea FC,1,2,['38'],"['13', '87']"
29,170318,Sunderland AFC,Burnley FC,0,0,[],[]
29,170318,West Ham United,Leicester City,2,3,"['20', '63']","['5', '7', '38']"
29,170318,AFC Bournemouth,Swansea City,2,0,"['31', '72']",[]
29,170319,Middlesbrough FC,Manchester United,1,3,['77'],"['30', '62', '90']"
29,170319,Tottenham Hotspur,Southampton FC,2,1,"['14', '33']",['52']
29,170319,Manchester City,Liverpool FC,1,1,['69'],['51']
30,170401,Liverpool FC,Everton FC,3,1,"['8', '31', '60']",['28']
30,170401,Burnley FC,Tottenham Hotspur,0,2,[],"['66', '77']"
30,170401,Chelsea FC,Crystal Palace,1,2,['5'],"['9', '11']"
30,170401,Hull City,West Ham United,2,1,"['53', '85']",['18']
30,170401,Leicester City,Stoke City,2,0,"['25', '47']",[]
30,170401,Manchester United,West Bromwich Albion,0,0,[],[]
30,170401,Watford FC,Sunderland AFC,1,0,['59'],[]
30,170401,Southampton FC,AFC Bournemouth,0,0,[],[]
30,170402,Swansea City,Middlesbrough FC,0,0,[],[]
30,170402,Arsenal FC,Manchester City,2,2,"['40', '53']","['5', '42']"
31,170404,Burnley FC,Stoke City,1,0,['58'],[]
31,170404,Leicester City,Sunderland AFC,2,0,"['69', '78']",[]
31,170404,Watford FC,West Bromwich Albion,2,0,"['13', '49']",[]
31,170404,Manchester United,Everton FC,1,1,['90'],['22']
31,170405,Arsenal FC,West Ham United,3,0,"['58', '68', '83']",[]
31,170405,Hull City,Middlesbrough FC,4,2,"['14', '27', '33', '70']","['5', '45']"
31,170405,Swansea City,Tottenham Hotspur,1,3,['11'],"['88', '90', '90']"
31,170405,Southampton FC,Crystal Palace,3,1,"['45', '83', '85']",['31']
31,170405,Chelsea FC,Manchester City,2,1,"['10', '35']",['26']
31,170405,Liverpool FC,AFC Bournemouth,2,2,"['40', '59']","['7', '87']"
32,170408,Tottenham Hotspur,Watford FC,4,0,"['33', '39', '44', '55']",[]
32,170408,Manchester City,Hull City,3,1,"['31', '48', '64']",['85']
32,170408,Middlesbrough FC,Burnley FC,0,0,[],[]
32,170408,Stoke City,Liverpool FC,1,2,['44'],"['70', '72']"
32,170408,West Bromwich Albion,Southampton FC,0,1,[],['25']
32,170408,West Ham United,Swansea City,1,0,['44'],[]
32,170408,AFC Bournemouth,Chelsea FC,1,3,['42'],"['17', '20', '68']"
32,170409,Sunderland AFC,Manchester United,0,3,[],"['30', '46', '89']"
32,170409,Everton FC,Leicester City,4,2,"['1', '23', '41', '57']","['4', '10']"
32,170410,Crystal Palace,Arsenal FC,3,0,"['17', '63', '68']",[]
33,170415,Tottenham Hotspur,AFC Bournemouth,4,0,"['16', '19', '48', '90']",[]
33,170415,Crystal Palace,Leicester City,2,2,"['54', '70']","['6', '52']"
33,170415,Everton FC,Burnley FC,3,1,"['49', '71', '74']",['52']
33,170415,Stoke City,Hull City,3,1,"['6', '66', '80']",['51']
33,170415,Sunderland AFC,West Ham United,2,2,"['26', '90']","['5', '47']"
33,170415,Watford FC,Swansea City,1,0,['42'],[]
33,170415,Southampton FC,Manchester City,0,3,[],"['55', '77', '80']"
33,170416,West Bromwich Albion,Liverpool FC,0,1,[],['45']
33,170416,Manchester United,Chelsea FC,2,0,"['7', '49']",[]
33,170417,Middlesbrough FC,Arsenal FC,1,2,['50'],"['42', '71']"
34,170422,AFC Bournemouth,Middlesbrough FC,4,0,"['2', '16', '65', '70']",[]
34,170422,Hull City,Watford FC,2,0,"['62', '71']",[]
34,170422,Swansea City,Stoke City,2,0,"['10', '70']",[]
34,170422,West Ham United,Everton FC,0,0,[],[]
34,170423,Burnley FC,Manchester United,0,2,[],"['21', '39']"
34,170423,Liverpool FC,Crystal Palace,1,2,['24'],"['42', '74']"
34,170425,Chelsea FC,Southampton FC,4,2,"['5', '45', '54', '89']","['24', '90']"
34,170516,Arsenal FC,Sunderland AFC,2,0,"['72', '81']",[]
34,170516,Manchester City,West Bromwich Albion,3,1,"['27', '29', '57']",['87']
34,170518,Leicester City,Tottenham Hotspur,1,6,['60'],"['25', '36', '63', '71', '89', '90']"
35,170429,Southampton FC,Hull City,0,0,[],[]
35,170429,Stoke City,West Ham United,0,0,[],[]
35,170429,Sunderland AFC,AFC Bournemouth,0,1,[],['88']
35,170429,West Bromwich Albion,Leicester City,0,1,[],['43']
35,170429,Crystal Palace,Burnley FC,0,2,[],"['7', '85']"
35,170430,Manchester United,Swansea City,1,1,['45'],['79']
35,170430,Everton FC,Chelsea FC,0,3,[],"['66', '79', '86']"
35,170430,Middlesbrough FC,Manchester City,2,2,"['38', '77']","['69', '85']"
35,170430,Tottenham Hotspur,Arsenal FC,2,0,"['55', '58']",[]
35,170501,Watford FC,Liverpool FC,0,1,[],['45']
36,170505,West Ham United,Tottenham Hotspur,1,0,['65'],[]
36,170506,Manchester City,Crystal Palace,5,0,"['2', '49', '59', '82', '90']",[]
36,170506,AFC Bournemouth,Stoke City,2,2,"['62', '81']","['33', '73']"
36,170506,Burnley FC,West Bromwich Albion,2,2,"['56', '86']","['66', '78']"
36,170506,Hull City,Sunderland AFC,0,2,[],"['69', '90']"
36,170506,Leicester City,Watford FC,3,0,"['38', '58', '90']",[]
36,170506,Swansea City,Everton FC,1,0,['29'],[]
36,170507,Liverpool FC,Southampton FC,0,0,[],[]
36,170507,Arsenal FC,Manchester United,2,0,"['54', '57']",[]
36,170508,Chelsea FC,Middlesbrough FC,3,0,"['23', '34', '65']",[]
37,170512,Everton FC,Watford FC,1,0,['56'],[]
37,170512,West Bromwich Albion,Chelsea FC,0,1,[],['83']
37,170513,Manchester City,Leicester City,2,1,"['29', '36']",['42']
37,170513,AFC Bournemouth,Burnley FC,2,1,"['25', '85']",['83']
37,170513,Middlesbrough FC,Southampton FC,1,2,['72'],"['42', '57']"
