match week,date,home team name,away team name,home final score,away final score,home goal times,away goal times
1,180810,Manchester United,Leicester City,2,1,"['3', '83']",['90']
1,180811,Newcastle United,Tottenham Hotspur,1,2,['11'],"['8', '18']"
1,180811,AFC Bournemouth,Cardiff City,2,0,"['24', '90']",[]
1,180811,Fulham FC,Crystal Palace,0,2,[],"['41', '79']"
1,180811,Huddersfield Town,Chelsea FC,0,3,[],"['34', '45', '80']"
1,180811,Watford FC,Brighton & Hove Albion,2,0,"['35', '54']",[]
1,180811,Wolverhampton Wanderers,Everton FC,2,2,"['44', '80']","['17', '67']"
1,180812,Southampton FC,Burnley FC,0,0,[],[]
1,180812,Liverpool FC,West Ham United,4,0,"['19', '45', '53', '88']",[]
1,180812,Arsenal FC,Manchester City,0,2,[],"['14', '64']"
2,180818,Cardiff City,Newcastle United,0,0,[],[]
2,180818,Everton FC,Southampton FC,2,1,"['15', '31']",['54']
2,180818,Leicester City,Wolverhampton Wanderers,2,0,"['29', '45']",[]
2,180818,Tottenham Hotspur,Fulham FC,3,1,"['43', '74', '77']",['52']
2,180818,West Ham United,AFC Bournemouth,1,2,['33'],"['60', '66']"
2,180818,Chelsea FC,Arsenal FC,3,2,"['9', '20', '81']","['37', '41']"
2,180819,Burnley FC,Watford FC,1,3,['6'],"['3', '48', '51']"
2,180819,Manchester City,Huddersfield Town,6,1,"['25', '31', '35', '48', '75', '84']",['43']
2,180819,Brighton & Hove Albion,Manchester United,3,2,"['25', '27', '44']","['34', '90']"
2,180820,Crystal Palace,Liverpool FC,0,2,[],"['45', '90']"
3,180825,Wolverhampton Wanderers,Manchester City,1,1,['57'],['69']
3,180825,Arsenal FC,West Ham United,3,1,"['30', '70', '90']",['25']
3,180825,AFC Bournemouth,Everton FC,2,2,"['75', '79']","['56', '66']"
3,180825,Huddersfield Town,Cardiff City,0,0,[],[]
3,180825,Southampton FC,Leicester City,1,2,['52'],"['56', '90']"
3,180825,Liverpool FC,Brighton & Hove Albion,1,0,['23'],[]
3,180826,Watford FC,Crystal Palace,2,1,"['53', '71']",['78']
3,180826,Fulham FC,Burnley FC,4,2,"['4', '36', '38', '83']","['10', '41']"
3,180826,Newcastle United,Chelsea FC,1,2,['83'],"['76', '87']"
3,180827,Manchester United,Tottenham Hotspur,0,3,[],"['50', '52', '84']"
4,180901,Leicester City,Liverpool FC,1,2,['63'],"['10', '45']"
4,180901,Brighton & Hove Albion,Fulham FC,2,2,"['67', '84']","['43', '62']"
4,180901,Chelsea FC,AFC Bournemouth,2,0,"['72', '85']",[]
4,180901,Crystal Palace,Southampton FC,0,2,[],"['47', '90']"
4,180901,Everton FC,Huddersfield Town,1,1,['36'],['34']
4,180901,West Ham United,Wolverhampton Wanderers,0,1,[],['90']
4,180901,Manchester City,Newcastle United,2,1,"['8', '52']",['30']
4,180902,Cardiff City,Arsenal FC,2,3,"['45', '70']","['11', '62', '81']"
4,180902,Burnley FC,Manchester United,0,2,[],"['27', '44']"
4,180902,Watford FC,Tottenham Hotspur,2,1,"['69', '76']",['53']
5,180915,Tottenham Hotspur,Liverpool FC,1,2,['90'],"['39', '54']"
5,180915,AFC Bournemouth,Leicester City,4,2,"['19', '37', '41', '81']","['88', '89']"
5,180915,Chelsea FC,Cardiff City,4,1,"['37', '44', '80', '83']",['16']
5,180915,Huddersfield Town,Crystal Palace,0,1,[],['38']
5,180915,Manchester City,Fulham FC,3,0,"['2', '21', '47']",[]
5,180915,Newcastle United,Arsenal FC,1,2,['90'],"['49', '58']"
5,180915,Watford FC,Manchester United,1,2,['65'],"['35', '38']"
5,180916,Wolverhampton Wanderers,Burnley FC,1,0,['61'],[]
5,180916,Everton FC,West Ham United,1,3,['45'],"['11', '31', '61']"
5,180917,Southampton FC,Brighton & Hove Albion,2,2,"['35', '65']","['67', '90']"
6,180922,Fulham FC,Watford FC,1,1,['78'],['2']
6,180922,Burnley FC,AFC Bournemouth,4,0,"['39', '41', '83', '88']",[]
6,180922,Cardiff City,Manchester City,0,5,[],"['32', '35', '44', '67', '89']"
6,180922,Crystal Palace,Newcastle United,0,0,[],[]
6,180922,Leicester City,Huddersfield Town,3,1,"['19', '66', '75']",['5']
6,180922,Manchester United,Wolverhampton Wanderers,1,1,['18'],['53']
6,180922,Liverpool FC,Southampton FC,3,0,"['10', '21', '45']",[]
6,180922,Brighton & Hove Albion,Tottenham Hotspur,1,2,['90'],"['42', '76']"
6,180923,West Ham United,Chelsea FC,0,0,[],[]
6,180923,Arsenal FC,Everton FC,2,0,"['56', '59']",[]
7,180929,West Ham United,Manchester United,3,1,"['5', '43', '74']",['71']
7,180929,Arsenal FC,Watford FC,2,0,"['81', '83']",[]
7,180929,Everton FC,Fulham FC,3,0,"['56', '66', '89']",[]
7,180929,Huddersfield Town,Tottenham Hotspur,0,2,[],"['25', '34']"
7,180929,Manchester City,Brighton & Hove Albion,2,0,"['29', '65']",[]
7,180929,Newcastle United,Leicester City,0,2,[],"['30', '73']"
7,180929,Wolverhampton Wanderers,Southampton FC,2,0,"['79', '87']",[]
7,180929,Chelsea FC,Liverpool FC,1,1,['25'],['89']
