match week,date,home team name,away team name,home final score,away final score,home goal times,away goal times
7,180930,Cardiff City,Burnley FC,1,2,['60'],"['51', '70']"
7,181001,AFC Bournemouth,Crystal Palace,2,1,"['5', '87']",['55']
8,181005,Brighton & Hove Albion,West Ham United,1,0,['25'],[]
8,181006,Burnley FC,Huddersfield Town,1,1,['20'],['66']
8,181006,Crystal Palace,Wolverhampton Wanderers,0,1,[],['56']
8,181006,Leicester City,Everton FC,1,2,['40'],"['7', '77']"
8,181006,Tottenham Hotspur,Cardiff City,1,0,['8'],[]
8,181006,Watford FC,AFC Bournemouth,0,4,[],"['14', '33', '45', '47']"
8,181006,Manchester United,Newcastle United,3,2,"['70', '76', '90']","['7', '10']"
8,181007,Fulham FC,Arsenal FC,1,5,['44'],"['29', '49', '67', '79', '90']"
8,181007,Southampton FC,Chelsea FC,0,3,[],"['30', '57', '90']"
8,181007,Liverpool FC,Manchester City,0,0,[],[]
9,181020,Chelsea FC,Manchester United,2,2,"['21', '90']","['55', '73']"
9,181020,AFC Bournemouth,Southampton FC,0,0,[],[]
9,181020,Cardiff City,Fulham FC,4,2,"['15', '20', '65', '87']","['11', '34']"
9,181020,Manchester City,Burnley FC,5,0,"['17', '54', '56', '83', '90']",[]
9,181020,Newcastle United,Brighton & Hove Albion,0,1,[],['29']
9,181020,West Ham United,Tottenham Hotspur,0,1,[],['44']
9,181020,Wolverhampton Wanderers,Watford FC,0,2,[],"['20', '21']"
9,181020,Huddersfield Town,Liverpool FC,0,1,[],['24']
9,181021,Everton FC,Crystal Palace,2,0,"['87', '89']",[]
9,181022,Arsenal FC,Leicester City,3,1,"['45', '63', '66']",['31']
10,181027,Brighton & Hove Albion,Wolverhampton Wanderers,1,0,['48'],[]
10,181027,Fulham FC,AFC Bournemouth,0,3,[],"['14', '72', '85']"
10,181027,Liverpool FC,Cardiff City,4,1,"['10', '66', '84', '87']",['77']
10,181027,Southampton FC,Newcastle United,0,0,[],[]
10,181027,Watford FC,Huddersfield Town,3,0,"['10', '19', '80']",[]
10,181027,Leicester City,West Ham United,1,1,['89'],['30']
10,181028,Burnley FC,Chelsea FC,0,4,[],"['22', '57', '62', '90']"
10,181028,Crystal Palace,Arsenal FC,2,2,"['45', '83']","['51', '56']"
10,181028,Manchester United,Everton FC,2,1,"['27', '49']",['77']
10,181029,Tottenham Hotspur,Manchester City,0,1,[],['6']
11,181103,AFC Bournemouth,Manchester United,1,2,['11'],"['35', '90']"
11,181103,Cardiff City,Leicester City,0,1,[],['55']
11,181103,Everton FC,Brighton & Hove Albion,3,1,"['26', '50', '77']",['33']
11,181103,Newcastle United,Watford FC,1,0,['65'],[]
11,181103,West Ham United,Burnley FC,4,2,"['10', '68', '84', '90']","['45', '77']"
11,181103,Arsenal FC,Liverpool FC,1,1,['82'],['61']
11,181103,Wolverhampton Wanderers,Tottenham Hotspur,2,3,"['68', '79']","['27', '30', '61']"
11,181104,Manchester City,Southampton FC,6,1,"['6', '12', '18', '45', '67', '90']",['30']
11,181104,Chelsea FC,Crystal Palace,3,1,"['32', '65', '70']",['53']
11,181105,Huddersfield Town,Fulham FC,1,0,['29'],[]
12,181110,Cardiff City,Brighton & Hove Albion,2,1,"['28', '90']",['6']
12,181110,Huddersfield Town,West Ham United,1,1,['6'],['74']
12,181110,Leicester City,Burnley FC,0,0,[],[]
12,181110,Newcastle United,AFC Bournemouth,2,1,"['7', '40']",['45']
12,181110,Southampton FC,Watford FC,1,1,['20'],['82']
12,181110,Crystal Palace,Tottenham Hotspur,0,1,[],['66']
12,181111,Liverpool FC,Fulham FC,2,0,"['41', '53']",[]
12,181111,Chelsea FC,Everton FC,0,0,[],[]
12,181111,Arsenal FC,Wolverhampton Wanderers,1,1,['86'],['13']
12,181111,Manchester City,Manchester United,3,1,"['12', '48', '86']",['58']
13,181124,Brighton & Hove Albion,Leicester City,1,1,['15'],['79']
13,181124,Everton FC,Cardiff City,1,0,['59'],[]
13,181124,Fulham FC,Southampton FC,3,2,"['33', '43', '63']","['18', '53']"
13,181124,Manchester United,Crystal Palace,0,0,[],[]
13,181124,Watford FC,Liverpool FC,0,3,[],"['67', '76', '89']"
13,181124,West Ham United,Manchester City,0,4,[],"['11', '19', '34', '90']"
13,181124,Tottenham Hotspur,Chelsea FC,3,1,"['8', '16', '54']",['85']
13,181125,AFC Bournemouth,Arsenal FC,1,2,['45'],"['30', '67']"
13,181125,Wolverhampton Wanderers,Huddersfield Town,0,2,[],"['6', '74']"
13,181126,Burnley FC,Newcastle United,1,2,['40'],"['4', '23']"
14,181130,Cardiff City,Wolverhampton Wanderers,2,1,"['65', '77']",['18']
14,181201,Crystal Palace,Burnley FC,2,0,"['16', '77']",[]
14,181201,Huddersfield Town,Brighton & Hove Albion,1,2,['1'],"['45', '69']"
14,181201,Leicester City,Watford FC,2,0,"['12', '23']",[]
14,181201,Manchester City,AFC Bournemouth,3,1,"['16', '57', '79']",['44']
14,181201,Newcastle United,West Ham United,0,3,[],"['11', '63', '90']"
14,181201,Southampton FC,Manchester United,2,2,"['13', '20']","['33', '39']"
14,181202,Chelsea FC,Fulham FC,2,0,"['4', '82']",[]
14,181202,Arsenal FC,Tottenham Hotspur,4,2,"['10', '56', '74', '77']","['30', '34']"
14,181202,Liverpool FC,Everton FC,1,0,['90'],[]
15,181204,AFC Bournemouth,Huddersfield Town,2,1,"['5', '22']",['38']
15,181204,Brighton & Hove Albion,Crystal Palace,3,1,"['24', '31', '45']",['81']
15,181204,West Ham United,Cardiff City,3,1,"['49', '54', '61']",['90']
15,181204,Watford FC,Manchester City,1,2,['85'],"['40', '51']"
15,181205,Burnley FC,Liverpool FC,1,3,['54'],"['62', '69', '90']"
15,181205,Fulham FC,Leicester City,1,1,['42'],['74']
15,181205,Wolverhampton Wanderers,Chelsea FC,2,1,"['59', '63']",['18']
15,181205,Everton FC,Newcastle United,1,1,['38'],['19']
15,181205,Manchester United,Arsenal FC,2,2,"['30', '69']","['26', '68']"
15,181205,Tottenham Hotspur,Southampton FC,3,1,"['9', '51', '55']",['90']
16,181208,AFC Bournemouth,Liverpool FC,0,4,[],"['25', '48', '68', '77']"
16,181208,Arsenal FC,Huddersfield Town,1,0,['83'],[]
16,181208,Burnley FC,Brighton & Hove Albion,1,0,['40'],[]
16,181208,Cardiff City,Southampton FC,1,0,['74'],[]
16,181208,Manchester United,Fulham FC,4,1,"['13', '28', '42', '82']",['67']
16,181208,West Ham United,Crystal Palace,3,2,"['48', '62', '65']","['6', '76']"
16,181208,Chelsea FC,Manchester City,2,0,"['45', '78']",[]
16,181208,Leicester City,Tottenham Hotspur,0,2,[],"['45', '58']"
16,181209,Newcastle United,Wolverhampton Wanderers,1,2,['23'],"['17', '90']"
16,181210,Everton FC,Watford FC,2,2,"['15', '90']","['63', '65']"
17,181215,Manchester City,Everton FC,3,1,"['22', '50', '69']",['65']
17,181215,Crystal Palace,Leicester City,1,0,['39'],[]
17,181215,Huddersfield Town,Newcastle United,0,1,[],['55']
17,181215,Tottenham Hotspur,Burnley FC,1,0,['90'],[]
17,181215,Watford FC,Cardiff City,3,2,"['16', '52', '68']","['80', '82']"
17,181215,Wolverhampton Wanderers,AFC Bournemouth,2,0,"['12', '90']",[]
17,181215,Fulham FC,West Ham United,0,2,[],"['17', '29']"
17,181216,Brighton & Hove Albion,Chelsea FC,1,2,['66'],"['17', '33']"
17,181216,Southampton FC,Arsenal FC,3,2,"['20', '44', '85']","['28', '53']"
17,181216,Liverpool FC,Manchester United,3,1,"['24', '73', '80']",['33']
18,181221,Wolverhampton Wanderers,Liverpool FC,0,2,[],"['18', '68']"
18,181222,Arsenal FC,Burnley FC,3,1,"['14', '48', '90']",['63']
18,181222,AFC Bournemouth,Brighton & Hove Albion,2,0,"['21', '77']",[]
18,181222,Chelsea FC,Leicester City,0,1,[],['51']
18,181222,Huddersfield Town,Southampton FC,1,3,['58'],"['15', '42', '71']"
18,181222,Manchester City,Crystal Palace,2,3,"['27', '85']","['33', '35', '51']"
18,181222,Newcastle United,Fulham FC,0,0,[],[]
18,181222,West Ham United,Watford FC,0,2,[],"['30', '87']"
18,181222,Cardiff City,Manchester United,1,5,['38'],"['3', '29', '41', '57', '90']"
18,181223,Everton FC,Tottenham Hotspur,2,6,"['21', '51']","['27', '35', '42', '48', '61', '74']"
19,181226,Fulham FC,Wolverhampton Wanderers,1,1,['74'],['85']
19,181226,Burnley FC,Everton FC,1,5,['36'],"['2', '13', '22', '71', '90']"
19,181226,Crystal Palace,Cardiff City,0,0,[],[]
19,181226,Leicester City,Manchester City,2,1,"['19', '81']",['14']
19,181226,Liverpool FC,Newcastle United,4,0,"['11', '47', '79', '85']",[]
19,181226,Manchester United,Huddersfield Town,3,1,"['28', '64', '78']",['88']
19,181226,Tottenham Hotspur,AFC Bournemouth,5,0,"['16', '23', '35', '61', '70']",[]
19,181226,Brighton & Hove Albion,Arsenal FC,1,1,['35'],['7']
19,181226,Watford FC,Chelsea FC,1,2,['45'],"['45', '58']"
19,181227,Southampton FC,West Ham United,1,2,['50'],"['53', '59']"
20,181229,Brighton & Hove Albion,Everton FC,1,0,['59'],[]
20,181229,Fulham FC,Huddersfield Town,1,0,['90'],[]
20,181229,Leicester City,Cardiff City,0,1,[],['90']
20,181229,Tottenham Hotspur,Wolverhampton Wanderers,1,3,['22'],"['72', '83', '87']"
20,181229,Watford FC,Newcastle United,1,1,['82'],['29']
20,181229,Liverpool FC,Arsenal FC,5,1,"['14', '16', '32', '45', '65']",['11']
20,181230,Crystal Palace,Chelsea FC,0,1,[],['51']
20,181230,Burnley FC,West Ham United,2,0,"['15', '34']",[]
20,181230,Southampton FC,Manchester City,1,3,['37'],"['10', '45', '45']"
20,181230,Manchester United,AFC Bournemouth,4,1,"['5', '33', '45', '72']",['45']
21,190101,Everton FC,Leicester City,0,1,[],['58']
21,190101,Arsenal FC,Fulham FC,4,1,"['25', '55', '79', '83']",['69']
21,190101,Cardiff City,Tottenham Hotspur,0,3,[],"['3', '12', '26']"
21,190102,AFC Bournemouth,Watford FC,3,3,"['34', '37', '40']","['14', '27', '38']"
21,190102,Chelsea FC,Southampton FC,0,0,[],[]
21,190102,Huddersfield Town,Burnley FC,1,2,['33'],"['40', '74']"
21,190102,West Ham United,Brighton & Hove Albion,2,2,"['66', '68']","['56', '58']"
21,190102,Wolverhampton Wanderers,Crystal Palace,0,2,[],"['83', '90']"
21,190102,Newcastle United,Manchester United,0,2,[],"['64', '80']"
21,190103,Manchester City,Liverpool FC,2,1,"['40', '72']",['64']
22,190112,West Ham United,Arsenal FC,1,0,['48'],[]
22,190112,Brighton & Hove Albion,Liverpool FC,0,1,[],['50']
22,190112,Burnley FC,Fulham FC,2,1,"['20', '23']",['2']
22,190112,Cardiff City,Huddersfield Town,0,0,[],[]
22,190112,Crystal Palace,Watford FC,1,2,['38'],"['67', '74']"
22,190112,Leicester City,Southampton FC,1,2,['58'],"['11', '45']"
22,190112,Chelsea FC,Newcastle United,2,1,"['9', '57']",['40']
22,190113,Everton FC,AFC Bournemouth,2,0,"['61', '90']",[]
22,190113,Tottenham Hotspur,Manchester United,0,1,[],['44']
22,190114,Manchester City,Wolverhampton Wanderers,3,0,"['10', '39', '78']",[]
23,190119,Wolverhampton Wanderers,Leicester City,4,3,"['4', '12', '64', '90']","['47', '51', '87']"
23,190119,AFC Bournemouth,West Ham United,2,0,"['53', '90']",[]
23,190119,Liverpool FC,Crystal Palace,4,3,"['46', '53', '75', '90']","['34', '65', '90']"
23,190119,Manchester United,Brighton & Hove Albion,2,1,"['27', '42']",['72']
23,190119,Newcastle United,Cardiff City,3,0,"['24', '63', '90']",[]
23,190119,Southampton FC,Everton FC,2,1,"['50', '64']",['90']
23,190119,Watford FC,Burnley FC,0,0,[],[]
23,190119,Arsenal FC,Chelsea FC,2,0,"['14', '39']",[]
23,190120,Huddersfield Town,Manchester City,0,3,[],"['18', '54', '56']"
23,190120,Fulham FC,Tottenham Hotspur,1,2,['17'],"['51', '90']"
24,190129,Fulham FC,Brighton & Hove Albion,4,2,"['47', '58', '74', '79']","['3', '17']"
24,190129,Arsenal FC,Cardiff City,2,1,"['66', '83']",['90']
24,190129,Huddersfield Town,Everton FC,0,1,[],['3']
24,190129,Wolverhampton Wanderers,West Ham United,3,0,"['66', '80', '86']",[]
24,190129,Manchester United,Burnley FC,2,2,"['87', '90']","['51', '81']"
24,190129,Newcastle United,Manchester City,2,1,"['66', '80']",['1']
24,190130,AFC Bournemouth,Chelsea FC,4,0,"['47', '63', '74', '90']",[]
24,190130,Southampton FC,Crystal Palace,1,1,['77'],['41']
24,190130,Liverpool FC,Leicester City,1,1,['3'],['45']
24,190130,Tottenham Hotspur,Watford FC,2,1,"['80', '87']",['38']
25,190202,Tottenham Hotspur,Newcastle United,1,0,['83'],[]
25,190202,Crystal Palace,Fulham FC,2,0,"['25', '87']",[]
25,190202,Burnley FC,Southampton FC,1,1,['90'],['55']
25,190202,Chelsea FC,Huddersfield Town,5,0,"['16', '45', '66', '69', '86']",[]
25,190202,Brighton & Hove Albion,Watford FC,0,0,[],[]
25,190202,Everton FC,Wolverhampton Wanderers,1,3,['27'],"['7', '45', '66']"
25,190202,Cardiff City,AFC Bournemouth,2,0,"['5', '46']",[]
25,190203,Leicester City,Manchester United,0,1,[],['9']
25,190203,Manchester City,Arsenal FC,3,1,"['1', '44', '61']",['11']
25,190204,West Ham United,Liverpool FC,1,1,['28'],['22']
26,190209,Fulham FC,Manchester United,0,3,[],"['14', '23', '65']"
26,190209,Huddersfield Town,Arsenal FC,1,2,['90'],"['16', '44']"
26,190209,Liverpool FC,AFC Bournemouth,3,0,"['24', '34', '48']",[]
26,190209,Southampton FC,Cardiff City,1,2,['90'],"['69', '90']"
26,190209,Watford FC,Everton FC,1,0,['65'],[]
26,190209,Crystal Palace,West Ham United,1,1,['76'],['27']
26,190209,Brighton & Hove Albion,Burnley FC,1,3,['76'],"['26', '61', '74']"
26,190210,Tottenham Hotspur,Leicester City,3,1,"['33', '63', '90']",['76']
26,190210,Manchester City,Chelsea FC,6,0,"['4', '13', '19', '25', '56', '80']",[]
26,190211,Wolverhampton Wanderers,Newcastle United,1,1,['90'],['56']
27,190206,Everton FC,Manchester City,0,2,[],"['45', '90']"
27,190222,West Ham United,Fulham FC,3,1,"['29', '40', '90']",['3']
27,190222,Cardiff City,Watford FC,1,5,['82'],"['18', '61', '63', '73', '90']"
27,190223,Burnley FC,Tottenham Hotspur,2,1,"['57', '83']",['65']
27,190223,Newcastle United,Huddersfield Town,2,0,"['46', '52']",[]
27,190223,AFC Bournemouth,Wolverhampton Wanderers,1,1,['14'],['83']
27,190223,Leicester City,Crystal Palace,1,4,['64'],"['40', '70', '81', '90']"
27,190224,Manchester United,Liverpool FC,0,0,[],[]
27,190224,Arsenal FC,Southampton FC,2,0,"['6', '17']",[]
27,190403,Chelsea FC,Brighton & Hove Albion,3,0,"['38', '60', '63']",[]
28,190226,Leicester City,Brighton & Hove Albion,2,1,"['10', '63']",['66']
28,190226,Cardiff City,Everton FC,0,3,[],"['41', '66', '90']"
28,190226,Huddersfield Town,Wolverhampton Wanderers,1,0,['90'],[]
28,190226,Newcastle United,Burnley FC,2,0,"['24', '38']",[]
28,190227,Arsenal FC,AFC Bournemouth,5,1,"['4', '27', '47', '59', '78']",['30']
28,190227,Southampton FC,Fulham FC,2,0,"['23', '40']",[]
28,190227,Crystal Palace,Manchester United,1,3,['66'],"['33', '52', '83']"
28,190227,Chelsea FC,Tottenham Hotspur,2,0,"['57', '84']",[]
28,190227,Liverpool FC,Watford FC,5,0,"['9', '20', '66', '79', '82']",[]
28,190227,Manchester City,West Ham United,1,0,['59'],[]
29,190302,Tottenham Hotspur,Arsenal FC,1,1,['74'],['16']
29,190302,Wolverhampton Wanderers,Cardiff City,2,0,"['16', '18']",[]
29,190302,Burnley FC,Crystal Palace,1,3,['90'],"['15', '48', '76']"
29,190302,Brighton & Hove Albion,Huddersfield Town,1,0,['79'],[]
29,190302,AFC Bournemouth,Manchester City,0,1,[],['55']
29,190302,Manchester United,Southampton FC,3,2,"['53', '59', '88']","['26', '75']"
29,190302,West Ham United,Newcastle United,2,0,"['7', '42']",[]
29,190303,Watford FC,Leicester City,2,1,"['5', '90']",['75']
29,190303,Fulham FC,Chelsea FC,1,2,['28'],"['20', '31']"
29,190303,Everton FC,Liverpool FC,0,0,[],[]
30,190309,Crystal Palace,Brighton & Hove Albion,1,2,['50'],"['19', '74']"
30,190309,Huddersfield Town,AFC Bournemouth,0,2,[],"['20', '66']"
30,190309,Leicester City,Fulham FC,3,1,"['21', '78', '86']",['51']
30,190309,Cardiff City,West Ham United,2,0,"['4', '52']",[]
30,190309,Newcastle United,Everton FC,3,2,"['65', '81', '84']","['18', '32']"
30,190309,Southampton FC,Tottenham Hotspur,2,1,"['76', '81']",['26']
30,190309,Manchester City,Watford FC,3,1,"['46', '50', '59']",['66']
30,190310,Liverpool FC,Burnley FC,4,2,"['20', '29', '67', '90']","['6', '90']"
30,190310,Chelsea FC,Wolverhampton Wanderers,1,1,['90'],['56']
30,190310,Arsenal FC,Manchester United,2,0,"['12', '69']",[]
31,190316,West Ham United,Huddersfield Town,4,3,"['15', '75', '84', '90']","['17', '30', '65']"
31,190316,Burnley FC,Leicester City,1,2,['38'],"['33', '90']"
31,190316,AFC Bournemouth,Newcastle United,2,2,"['48', '81']","['45', '90']"
31,190317,Fulham FC,Liverpool FC,1,2,['74'],"['26', '81']"
31,190317,Everton FC,Chelsea FC,2,0,"['49', '72']",[]
31,190403,Tottenham Hotspur,Crystal Palace,2,0,"['55', '80']",[]
31,190416,Brighton & Hove Albion,Cardiff City,0,2,[],"['22', '50']"
31,190423,Watford FC,Southampton FC,1,1,['90'],['1']
31,190424,Wolverhampton Wanderers,Arsenal FC,3,1,"['28', '37', '45']",['80']
31,190424,Manchester United,Manchester City,0,2,[],"['54', '66']"
32,190330,Fulham FC,Manchester City,0,2,[],"['5', '27']"
32,190330,Leicester City,AFC Bournemouth,2,0,"['11', '82']",[]
32,190330,Crystal Palace,Huddersfield Town,2,0,"['76', '88']",[]
32,190330,Brighton & Hove Albion,Southampton FC,0,1,[],['53']
32,190330,Manchester United,Watford FC,2,1,"['28', '72']",['90']
32,190330,Burnley FC,Wolverhampton Wanderers,2,0,"['2', '77']",[]
32,190330,West Ham United,Everton FC,0,2,[],"['5', '33']"
32,190331,Cardiff City,Chelsea FC,1,2,['46'],"['84', '90']"
32,190331,Liverpool FC,Tottenham Hotspur,2,1,"['16', '90']",['70']
32,190401,Arsenal FC,Newcastle United,2,0,"['30', '83']",[]
33,190402,Watford FC,Fulham FC,4,1,"['23', '63', '69', '75']",['33']
33,190402,Wolverhampton Wanderers,Manchester United,2,1,"['25', '77']",['13']
33,190403,Manchester City,Cardiff City,2,0,"['6', '44']",[]
33,190405,Southampton FC,Liverpool FC,1,3,['9'],"['36', '80', '86']"
33,190406,AFC Bournemouth,Burnley FC,1,3,['4'],"['18', '20', '56']"
33,190406,Newcastle United,Crystal Palace,0,1,[],['81']
33,190406,Huddersfield Town,Leicester City,1,4,['52'],"['24', '48', '79', '84']"
33,190407,Everton FC,Arsenal FC,1,0,['10'],[]
33,190408,Chelsea FC,West Ham United,2,0,"['24', '90']",[]
33,190423,Tottenham Hotspur,Brighton & Hove Albion,1,0,['88'],[]
34,190412,Leicester City,Newcastle United,0,1,[],['32']
34,190413,Tottenham Hotspur,Huddersfield Town,4,0,"['24', '27', '87', '90']",[]
34,190413,Brighton & Hove Albion,AFC Bournemouth,0,5,[],"['33', '55', '74', '82', '90']"
34,190413,Burnley FC,Cardiff City,2,0,"['31', '90']",[]
34,190413,Fulham FC,Everton FC,2,0,"['46', '69']",[]
34,190413,Southampton FC,Wolverhampton Wanderers,3,1,"['2', '30', '71']",['28']
34,190413,Manchester United,West Ham United,2,1,"['19', '80']",['49']
34,190414,Crystal Palace,Manchester City,1,3,['81'],"['15', '63', '90']"
34,190414,Liverpool FC,Chelsea FC,2,0,"['51', '53']",[]
34,190415,Watford FC,Arsenal FC,0,1,[],['10']
35,190420,Manchester City,Tottenham Hotspur,1,0,['5'],[]
35,190420,AFC Bournemouth,Fulham FC,0,1,[],['53']
35,190420,Huddersfield Town,Watford FC,1,2,['90'],"['5', '80']"
35,190420,West Ham United,Leicester City,2,2,"['37', '82']","['67', '90']"
35,190420,Wolverhampton Wanderers,Brighton & Hove Albion,0,0,[],[]
35,190420,Newcastle United,Southampton FC,3,1,"['27', '31', '86']",['59']
35,190421,Everton FC,Manchester United,4,0,"['13', '28', '56', '64']",[]
35,190421,Arsenal FC,Crystal Palace,2,3,"['47', '77']","['17', '61', '69']"
35,190421,Cardiff City,Liverpool FC,0,2,[],"['57', '81']"
35,190422,Chelsea FC,Burnley FC,2,2,"['12', '14']","['8', '24']"
36,190426,Liverpool FC,Huddersfield Town,5,0,"['1', '23', '45', '66', '83']",[]
36,190427,Tottenham Hotspur,West Ham United,0,1,[],['67']
36,190427,Crystal Palace,Everton FC,0,0,[],[]
36,190427,Fulham FC,Cardiff City,1,0,['79'],[]
36,190427,Southampton FC,AFC Bournemouth,3,3,"['12', '55', '67']","['20', '32', '86']"
36,190427,Watford FC,Wolverhampton Wanderers,1,2,['49'],"['41', '77']"
36,190427,Brighton & Hove Albion,Newcastle United,1,1,['75'],['18']
36,190428,Leicester City,Arsenal FC,3,0,"['59', '86', '90']",[]
36,190428,Burnley FC,Manchester City,0,1,[],['63']
36,190428,Manchester United,Chelsea FC,1,1,['11'],['43']
37,190503,Everton FC,Burnley FC,2,0,"['17', '20']",[]
37,190504,AFC Bournemouth,Tottenham Hotspur,1,0,['90'],[]
37,190504,West Ham United,Southampton FC,3,0,"['16', '69', '72']",[]
37,190504,Wolverhampton Wanderers,Fulham FC,1,0,['75'],[]
37,190504,Cardiff City,Crystal Palace,2,3,"['31', '90']","['28', '39', '70']"
37,190504,Newcastle United,Liverpool FC,2,3,"['20', '54']","['13', '28', '86']"
37,190505,Chelsea FC,Watford FC,3,0,"['48', '51', '75']",[]
37,190505,Huddersfield Town,Manchester United,1,1,['60'],['8']
37,190505,Arsenal FC,Brighton & Hove Albion,1,1,['9'],['61']
37,190506,Manchester City,Leicester City,1,0,['70'],[]
38,190512,Brighton & Hove Albion,Manchester City,1,4,['27'],"['28', '38', '63', '72']"
38,190512,Burnley FC,Arsenal FC,1,3,['65'],"['52', '63', '90']"
38,190512,Crystal Palace,AFC Bournemouth,5,3,"['24', '32', '37', '65', '80']","['45', '56', '73']"
38,190512,Fulham FC,Newcastle United,0,4,[],"['9', '11', '61', '90']"
